,ID,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,Entry
26536,26537,106.74419,-17.0,1.0,229.82477,-4.33889,110.84397,-39.23513,26536
19256,19257,289.80501,4.0,1.0,39.67538,-4.33297,292.07015,25.93465,19256
9473,9474,308.57143,33.0,1.0,73.66194,-4.32879,323.63397,49.51295,9473
20501,20502,98.0,0.0,1.0,210.71187,-4.3238,98.71523,-23.19782,20501
12446,12447,84.83384,23.0,1.0,184.31238,-4.32077,85.25101,-0.35407,12446
22299,22300,100.55866,-5.0,1.0,216.34306,-4.32048,101.93855,-28.00291,22299
8294,8295,312.33449,37.0,1.0,78.72524,-4.31933,330.65823,51.90869,8294
4676,4677,332.92035,51.0,1.0,99.03139,-4.30515,4.72119,55.79395,4676
3039,3040,24.63158,58.0,1.0,129.15612,-4.30156,48.26917,43.65033,3039
25494,25495,105.2149,-14.0,1.0,226.4733,-4.29099,108.46776,-36.4688,25494
3810,3811,344.27184,55.0,1.0,106.95638,-4.28525,18.35735,54.43454,3810
17275,17276,93.29577,9.0,1.0,200.53687,-4.2848,93.3668,-14.40102,17275
23373,23374,102.13483,-8.0,1.0,219.73642,-4.27864,104.03936,-30.84987,23373
4277,4278,50.49774,52.0,1.0,145.08104,-4.27691,62.41112,32.27966,4277
7449,7450,315.49091,40.0,1.0,82.62148,-4.27435,336.5406,53.45584,7449
26880,26881,107.36842,-18.0,1.0,230.98948,-4.26474,111.80574,-40.13323,26880
6989,6990,69.07749,41.0,1.0,161.91006,-4.26251,73.46918,18.75515,6989
5940,5941,63.77953,45.0,1.0,156.32809,-4.26069,70.11023,23.35632,5940
22840,22841,284.58101,-6.0,1.0,28.36489,-4.25834,285.14483,16.67581,22840
29875,29876,112.5,-27.0,1.0,241.18653,-4.25608,120.69046,-48.06932,29875
3433,3434,37.61194,56.0,1.0,136.51033,-4.23937,55.43723,38.67545,3433
11022,11023,304.35331,28.0,1.0,67.46548,-4.23522,315.93996,46.11362,11022
11144,11145,82.125,27.0,1.0,179.60732,-4.2285,82.9783,3.75273,11144
7819,7820,72.50883,38.0,1.0,165.92145,-4.22302,75.78296,15.42101,7819
25843,25844,105.82133,-15.0,1.0,227.63397,-4.22065,109.36227,-37.38167,25843
30335,30336,272.55521,-28.0,1.0,3.51442,-4.21554,272.25742,-4.58073,30335
18704,18705,95.53073,5.0,1.0,205.12249,-4.20673,95.81111,-18.32805,18704
17117,17118,292.88136,10.0,1.0,46.42453,-4.20618,296.63242,31.3484,17117
9173,9174,309.26174,34.0,1.0,74.81089,-4.19263,325.05849,50.21174,9173
3026,3027,0.0,58.0,1.0,116.14049,-4.19188,32.48332,51.08828,3026
